net,length_um
net92,5.6µm
_0372_,5.14µm
_0018_,5.09µm
_0096_,5.09µm
_0161_,5.09µm
_0191_,5.09µm
_0193_,5.09µm
_0264_,5.09µm
_0321_,5.09µm
_0517_,5.09µm
_0584_,5.09µm
_0629_,5.09µm
_0637_,5.09µm
net81,5.09µm
_0003_,5.04µm
_0036_,5.04µm
_0068_,5.04µm
_0163_,5.04µm
_0269_,5.04µm
_0368_,5.04µm
_0390_,5.04µm
_0393_,5.04µm
_0479_,5.04µm
_0494_,5.04µm
_0611_,5.04µm
net78,5.04µm
net88,5.04µm
net82,4.58µm
net86,4.58µm
_0047_,4.53µm
_0113_,4.53µm
_0399_,4.53µm
_0045_,4.48µm
_0074_,4.48µm
_0104_,4.48µm
_0147_,4.48µm
_0257_,4.48µm
_0336_,4.48µm
_0337_,4.48µm
_0376_,4.48µm
_0452_,4.48µm
_0473_,4.48µm
_0613_,4.48µm
_0641_,4.48µm
net98,4.48µm
_0320_,4.02µm
_0627_,4.02µm
net48,4.02µm
_0635_,3.97µm
_0019_,3.92µm
_0024_,3.92µm
_0040_,3.92µm
_0044_,3.92µm
_0046_,3.92µm
_0069_,3.92µm
_0080_,3.92µm
_0089_,3.92µm
_0110_,3.92µm
_0129_,3.92µm
_0162_,3.92µm
_0366_,3.92µm
_0406_,3.92µm
_0462_,3.92µm
_0488_,3.92µm
_0519_,3.92µm
_0542_,3.92µm
_0587_,3.92µm
net71,3.92µm
net93,3.92µm
_0230_,3.46µm
_0277_,3.46µm
_0305_,3.46µm
_0430_,3.46µm
_0454_,3.46µm
_0597_,3.46µm
net76,3.46µm
_0319_,3.41µm
_0416_,3.41µm
_0001_,3.36µm
_0006_,3.36µm
_0015_,3.36µm
_0016_,3.36µm
_0025_,3.36µm
_0035_,3.36µm
_0071_,3.36µm
_0076_,3.36µm
_0078_,3.36µm
_0079_,3.36µm
_0099_,3.36µm
_0126_,3.36µm
_0130_,3.36µm
_0248_,3.36µm
_0273_,3.36µm
_0324_,3.36µm
_0340_,3.36µm
_0354_,3.36µm
_0388_,3.36µm
_0491_,3.36µm
_0599_,3.36µm
net50,3.36µm
net97,3.36µm
_0318_,2.9µm
_0323_,2.9µm
_0338_,2.9µm
_0419_,2.9µm
_0466_,2.9µm
_0467_,2.9µm
net79,2.9µm
_0000_,2.8µm
_0029_,2.8µm
_0050_,2.8µm
_0070_,2.8µm
_0094_,2.8µm
_0101_,2.8µm
_0114_,2.8µm
_0125_,2.8µm
_0149_,2.8µm
_0164_,2.8µm
_0362_,2.8µm
_0383_,2.8µm
_0411_,2.8µm
_0495_,2.8µm
_0518_,2.8µm
_0581_,2.8µm
clknet_1_0__leaf_signal_input,2.8µm
net57,2.8µm
net74,2.8µm
_0234_,2.34µm
_0285_,2.34µm
_0292_,2.34µm
_0578_,2.34µm
_0014_,2.24µm
_0051_,2.24µm
_0055_,2.24µm
_0058_,2.24µm
_0060_,2.24µm
_0061_,2.24µm
_0082_,2.24µm
_0084_,2.24µm
_0117_,2.24µm
_0124_,2.24µm
_0128_,2.24µm
_0134_,2.24µm
_0188_,2.24µm
_0216_,2.24µm
_0236_,2.24µm
_0300_,2.24µm
_0475_,2.24µm
_0500_,2.24µm
_0511_,2.24µm
_0585_,2.24µm
net33,2.24µm
net36,2.24µm
net94,2.24µm
_0317_,1.68µm
_0480_,1.68µm
_0544_,1.68µm
net90,1.12µm
